complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
3355854,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"Tribal Lending Enterprise, Inc.",Web,TX,Yes,N/A,loan_or_mortgage_issue,loan,XX/XX/2019 ) I began receiving SMS text messages suggesting that I had a delinquent loan.,"Approximately three months ago ( i.e. XX/XX/2019 ) I began receiving SMS text messages suggesting that I had a delinquent loan. The messages were vague, but after receiving several of them, I called the number from which they originated. The person at the other end identified herself as an employee of Golden Valley Lending, and asserted I had taken a {$700.00} loan from the company she represented. I had, until that day, never heard of Golden Valley Lending, and definitely had not taken a {$700.00} loan from anyone. I said as much and, after a short exchange, determined the call was a phishing scam, and hung up. 

Since that time, I have received not less than 8 calls from Golden Valley Lending per week, originating from numerous different phone numbers. The most recent two are : * (  XXXX ) XXXX * ( XXXX ) XXXX I've blacklisted each new number as I've received the calls, which all adher",2262
2017723,Consumer Loan,Installment loan,Managing the loan or lease,,"RFNA, LP",Web,TN,Yes,Yes,loan_or_mortgage_issue,loan,I took out XXXX separate loans from this company to pay some debts.,"I took out XXXX separate loans from this company to pay some debts. The XXXX loan was {$1100.00} at 53.25 % APR. Total pay-off was XXXX on XX/XX/XXXX. I made XXXX payments of {$110.00} in XXXX & XXXX XXXX. Took out XXXX loan on XXXX/XXXX/XXXX of {$1200.00} at 28.70 % APR. As part of the selling tactic I was advised the XXXX loans be refinanced at 28.70 % APR at the time of signing. have been making payments on time since XXXX XXXX of {$130.00} a month. Company refuses to send statement balances and refuses to discuss them over the phone or on the internet account I have access to and pay my bill on. the internet web site only shows the payments made, not the outstanding balances nor the total amounts being reduced by paying on time. Company reported to Credit Bureau the largest balance outstanding I owe to them ever as {$3300.00} as of XXXX. XXXX and current balance of {$2200.00} due wit",3355
3509171,Mortgage,Conventional home mortgage,Trouble during payment process,,Ocwen Financial Corporation,Web,WI,Yes,N/A,loan_or_mortgage_issue,Escrow,My XX/XX/XXXX taxes which are escrowed were not paid according to my legal signed wishes.,"My XX/XX/XXXX taxes which are escrowed were not paid according to my legal signed wishes. I was told i didn't send in my Wisconsin Escrow Option, which in essence was signed during my closing on XX/XX/XXXX. After I contacted them after realizing I had not received a receipt like I normally do that is what I was told. I was then told to send in my copy of the document, which they should have had on file, it was part of my closing documents, everything else got updated accordingly, my mortgage statements come and get paid. I did that and send it to the research department. I did that and I received a letter dated XX/XX/19 stating that they did not receive a copy in time and they defaulted me to option 3, which states : The Lender will pay the property taxes when due from my escrow account. I selected option 2 : The Lender will pay the property taxes from my escrow account by by XX/XX/XXXX ",1618
3340700,Student loan,Private student loan,Dealing with your lender or servicer,Problem with customer service,"Navient Solutions, LLC.",Web,NY,Yes,N/A,loan_or_mortgage_issue,loan,'' I immediately asked to speak with someone else that was not rude but instead received a phone call from an unhappy woman that continually accused me of never wanting to pay back my loans.,"On or about XX/XX/2019, Navient sent me notice indicating it had "" recently received notice that you filed for bankruptcy '' and requested I send information regarding the First Meeting of Creditors. I don't know where they received information that I had filed for bankruptcy. 

On XX/XX/2019, the phone calls began. Some man with an accent started calling ( XXXX ) or something like that. He is unable to understand what I say to him - often misinterpreting what I say and then accusing me of lying to him afterward. 

On XX/XX/2019, I had enough, I laughed at the information he said back to me because I said none of those things. He said "" I don't understand how you live your life, last time we talked you were crying and today you are laughing. '' I immediately asked to speak with someone else that was not rude but instead received a phone call from an unhappy woman that continually accused",1580
8182281,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,Experian Information Solutions Inc.,Web,TX,Yes,N/A,loan_or_mortgage_issue,loan,"Proof of copy of Identification due to Identity theft, Inaccurate reporting with co loan without my consent.","Inaccurate address reported, Inaccurate names reported. Continuous validation of debt requested to include original debt owed, contract agreement, verification of identity on file, interest attached to debt, contractual agreement signatures by me. Proof of copy of Identification due to Identity theft, Inaccurate reporting with co loan without my consent. I requested these thing be mailed to me and upon Debt validation several times and advised I would discuss the debt being reported and possible resolution. They could not mail me anything for debt validation because they have no accurate new information on file. Please see your notice Last Mailed Certified XX/XX/ Todays date - Friday, XXXX XXXX XXXXXXXX No response. Please remove from Experian, XXXX, and XXXX. 


The CFPBs debt collection rule requires debt collectors to provide you with certain information about your debt, known as vali",1957
8162317,Mortgage,Conventional home mortgage,Trouble during payment process,"Escrow, taxes, or insurance","COLUMBIA BANKING SYSTEM, INC.",Web,OR,Yes,N/A,loan_or_mortgage_issue,escrow,Umpqua Bank did not provide the required escrow analysis for our loan XXXX the XXXX billing statement ( XXXX ).,"Umpqua Bank did not provide the required escrow analysis for our loan XXXX the XXXX billing statement ( XXXX ). They stated that they were "" having issues with their vender '', so none of their customers received a XXXX statement or escrow shortage Disclosure statement. 

Umpqua Bank adjusting my monthly payment on XX/XX/XXXX to include the adjusted taxes & insurance increases, as well as the escrow shortage without providing 30 days required disclosures, and options to pay the shortage in cash or request it to be added to my payments. I noticed the increased payments on XX/XX/XXXX when I went to make my XX/XX/XXXX payment. 

I had to call several times to receive the verbal response of, "" your payments were adjusted due to an escrow shortage for taxes and insurance ''. I informed them that they must adjust my payments back to where they were until they've provided the required written n",1708
8078831,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,OH,Yes,N/A,loan_or_mortgage_issue,loan,XXXX XXXX loans were transferred to XXXX in XXXX.,"XXXX XXXX loans were transferred to XXXX in XXXX. Total is near XXXX and my fresh start save application was approved prior to the transfer. 
XXXX made up a loan I do not have for XXXX and growing on my credit report XXXX per month. 
I do not have A loan in that amount. XXXX and XXXX did not do their due diligence as required by law. Screenshots from my account on both the lender and servicers portal .They report XXXX originally XXXX and now owing XXXX with interest accruing for 240 months. My loans are are not consolidated. 
I lost a car loan in XXXX due to this and was denied credit specifically due to my monthly obligation and utilization. Approved XXXX  days before. This went on and ruined it. I want it fixed. I expect compensation either voluntarily or in small claims court",789
3325173,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,WELLS FARGO & COMPANY,Web,IL,Yes,N/A,loan_or_mortgage_issue,loan,Wells Fargo offers various rate discounts to their jumbo loan products by selling a deposit account from {$250000.00} - $ XXXX.,"Wells Fargo offers various rate discounts to their jumbo loan products by selling a deposit account from {$250000.00} - $ XXXX. 

Wells Fargo agents are trained by their direct managers to suggest moving the funds to the new account in order to get the discount, and then immediately transferring the funds back after closing ( manipulating the process ) and winning jumbo loan business. 

I would think this is a fair lending issue. I would love to transfer {$10000.00} to Wells Fargo in order to get XXXX of my {$300000.00} mortgage. 

Another example of Wells Fargo proving inconsistent service based on redlining",616
3196226,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,MIDFIRST BANK,Web,SC,Yes,N/A,loan_or_mortgage_issue,Mortgage,I have worked hard to not have any negative credit reporting from Midland Mortgage.,"I am disputing the negative credit reporting to my credit report. I have worked hard to not have any negative credit reporting from Midland Mortgage. A stop payment was put on my account by my bank XXXX XXXX that I did not authorize. I paid my mortgage before it was 30 days late. When the payment was returned because of the stop payment. The bank realized that the stop payment was not authorized and removed it. I sent the payment the next day and it was paid. I sent my mortgage company a copy of an email from the bank saying that the stop paid was not authorize and removed. I asked the mortgage company to remove the negative reporting from my credit report because this was not my fault. 

Also, I have negative reporting status while I was under a modification plan. I do not feel that I should still be reported 120 or later while I was completing a modification plan. I was out of work 13 ",950
3048184,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,"Navient Solutions, LLC.",Web,TX,Yes,N/A,loan_or_mortgage_issue,loan,"Navient XXXX XXXX XXXX XXXX, PA XXXX This student loan company gave me false information about my student loan, although I was making payments, and was diligent about annual renewals, and communication.","Navient XXXX XXXX XXXX XXXX, PA XXXX This student loan company gave me false information about my student loan, although I was making payments, and was diligent about annual renewals, and communication. The problems have been ongoing and Navient has withheld the truth about the loan. I discovered the extent of the dishonesty when I decided to consolidate all of my loans. 
In XX/XX/XXXX I began the process of consolidating all of my loans at the Federal Government rate of 6 %. I tried to negotiate a lower rate than the +9 % I was paying but Navient refused. 
As I began the consolidation process that would add the Navient loan to my XXXX, I was told my loan could be added and yet as I continued to talk to XXXX, I was told over and over that the loan was not a federal loan but a private one. I called Navient, and was told the opposite. They swore it was a federal loan, and someone who was a",2631
