complaint_id,product,sub_product,issue,sub_issue,company,state,channel,timely_response,consumer_disputed,date_received,compliance_signal,narrative_length,narrative_preview
3626141,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IN,Web,Yes,N/A,2020-04-27,financial_harm,258,XXXX XXXX is showing my student loan account 60 days past due in XX/XX/XXXX. An administrative forbearance was granted and backdated to XX/XX/XXXX followed by the disaster forbearance. The account should not be showing past due with a back-dated forbearance.
3106953,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"National Credit Adjusters, LLC",LA,Web,Yes,N/A,2018-12-21,financial_harm,397,Several harrassing calls at my place of employment behind a debt I have no information about. This is the third time this number has contacted me under two different company names. This time it is from XXXX XXXX from National Credit Adjusters from phone number XXXX ext. XXXX Previously it was from XXXX XXXX from another company I do not remember. I submited a previous cfpb complaint about that.
8123840,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,BMO BANK NATIONAL ASSOCIATION,IL,Web,Yes,N/A,2024-01-08,financial_harm,471,XXXX XXXX I received the email from XXXX XXXX with proof of verification of debt from BMO Harris Bank. I responded to the same email XX/XX/ asking for proof of validation of debt. XX/XX/. I then emailed again requesting proof of validation of debt with no response to neither email with the appropriate documentation. I didnt requested that this collection be ceased as they do not have the appropriate documentation to prove the validation of this debt claim to be mine.
3221790,Checking or savings account,Checking account,Managing an account,Fee problem,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,Web,Yes,N/A,2019-04-24,financial_harm,3002,"This is my second continued attempt to file a complaint against Bank of America for Bank of America for repeated violation of the H.R.5198 -  Overdraft Protection Act of 2016, through unfair practices related to the marketing and provision of overdraft coverage on my account. Specifically, Provision ( a ) PROHIBITIONS, clearly states - No depository institution may engage in acts or practices in connection with the marketing of or the provision of overdraft coverage that are unfair, deceptive, or designed to evade the provisions of 12 this section. 

Since XX/XX/XXXX I have made repeated attempts to contact BOA when transfer fees were being taken out of my account ( documented below ) because I had previously had free overdraft protection which waived the {$12.00} fee. This free protection was unknowingly removed from my account because my account changed the previous year and I was not notified that the account would begin charging. When I reached out to BOA to solve the fees, I REPEATEDLY asked them to provide me with an account that would decline my purchases when there was insufficient funds rather than charge me an overdraft fee. 

MY COMPLAINT EXPLICITLY STATES THAT THE VIOLA"
3233513,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,Web,Yes,N/A,2019-05-06,financial_harm,407,XXXX and Transunion are reporting incorrectly that I am 90 days past due on XXXX XXXX - partial account number XXXX. ( Please see pages 58 and 59 of the attached credit report. ) Thid account reports a {$0.00} balance and {$0.00} past due. This incorrect reporting is harming my credit scores. Please keep in mind that it is impossible to be late on an account where nothing is owed and nothing is past due.
2265563,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"Caliber Home Loans, Inc.",NY,Web,Yes,No,2016-12-27,financial_harm,2763,"Caliber Home Loans has engaged in the prohibited pattern and practice of XXXX Foreclosures. The new and old lenders have colluded and conspired to do a XXXX Foreclosure. Caliber Home Loans is effectively acting as servicing arm for XXXX, a private equity vehicle packaging up XXXX of dollars worth of troubled mortgages. XXXX has packaged lots of funds, but the most recent significant ones are XXXX XXXX Master Participation Trust and XXXX XXXX Master Participation Trust. Based upon the information that I 've gathered, it appears XXXX sold its interest to XXXX Master Participation Trust while the loan was subject to a foreclosure lawsuit originated by XXXX. Instead of discontinuing the lawsuit, or substituting XXXX Master Trust as a plaintiff, XXXX has continued the Foreclose lawsuit under the representation that it is the owner of the loan without notifying the court that the ownership has changed. 
On XXXX XXXX, XXXX, XXXX was [ n ] ot licensed or registered to operate in the State of New York according to the New York State of Department of Financial Services ( DFS ). XXXX is claiming to be the owner and holder of the note and mortgage on XXXX XXXX, XXXX. No documentary proof exist"
2992018,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,Ocwen Financial Corporation,AL,Web,Yes,N/A,2018-08-15,financial_harm,1487,"During the past two years I have had repeated problems with Ocwen Loan Servicing, LLC regarding accusations of missed or late payments. I am again facing the threat of "" Adverse credit reporting '' and "" Further collection activities. '' The harassment is unrelenting and comes via frequent ( monthly ) postal mail, and daily telephone calls. 
When I have talked to Ocwen representatives, my concerns have never been addressed. 
There have been times when I have made the extra payment just to get them to stop the harrassment. I can not afford to keep making extra payments which seem to never be properly credited to my account. I just did an audit of my bill pay records and I have not missed a single payment. Nevertheless, Ocwen is harassing me about a missed payment in XX/XX/XXXX. 
I have spoken with legal council, but the first step he wants to take is to have me pay for a forensic audit as well as his fees ... this I can not afford. The original loan was made in XX/XX/XXXX and to date ( 12 years ) the outstanding principal has only decreased by a minuscule amount on what is supposed to be a 15 year loan. Additionally, I am being charged an exorbitant interest rate ( 8.87500 % ) with "
1466066,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NATIONSTAR MORTGAGE LLC,NC,Web,Yes,No,2015-07-13,financial_harm,1886,"I have filed numerous complaints in an attempt to stop Nationstar Mortgage from attempting to steal my home. I have not been able to reach a representative since I submitted my modification documents. Their phone number does not work and you can never reach a representative during the hours they claim to be available to check on the status of my modification. This is an attempt by this company to steal my home as I sink further past due with no relief available because they are not returning calls. I have filed complaints with the CFPB, XXXX, Justice Department and any other entity I feel can help me stop this crooked company from stealing my home. Please help! I just received a call from someone who claims to work in their customer relation department but he did n't want to discuss my modification. He claim to have called to let me know it has been assigned to someone. I told him I know a XXXX XXXX is supposed to be handling it but I have been trying for almost a month to reach her and not once has she ever contacted me. This gentleman called from XXXX. He would n't talk to me but was only willing to transfer me to XXXX. I explained I just called her this morning and she has not r"
2669605,Student loan,Private student loan,Struggling to repay your loan,Can't temporarily delay making payments,"Navient Solutions, LLC.",IL,Web,Yes,N/A,2017-09-11,financial_harm,820,To Whom it May Concern : I have been a customer of XXXX XXXX then Navient for about ten years. I have always made my monthly payments. This month ( XXXX ) was extremely hard on me financially. I called Navient and asked if I could have a forbearance just for XXXX. I will be able to pay XXXX. As stated before I have paid monthly since I acquired the loan. I was told there is a {$100.00} forbearance fee. My loan payment is about {$170.00} a month. If I ca n't afford {$170.00} why would I be able to pay {$100.00}. I have federal student loans and have never been charged a fee. They stated that this fee will be applied toward my loan. I do not have the monthly payment and I do not have {$100.00}. I find it unfortunate that a company that I have had a good relationship with for ten years is unwilling to Assist me.
18232083,Student loan,Private student loan,Issue where my lender is my school,Issues with fees connected to the loan,"Maximus Federal Services, Inc.",TX,Web,Yes,N/A,2025-12-22,financial_harm,721,"My spouse and I attended XXXX XXXX XXXX from XXXX. The school closed due in XXXX to fraudulent situations involving theft by the XXXX in which had nothing to do with our education still but it is affecting it. Ive learned that the school is not an accredited institution but during enrollment we were told that we could use our credits. I am now in default of over {$10000.00} in school loans for a certification in which I can not obtain my transcripts in order to further my education. After reaching out to the Department of Education and the XXXX XXXX XXXX I have been attempting to resolve the problem but to nothing is being told to me besides that I have to pay the debt, and that our transcripts are Unobtainable."
