value,count
30342,958
94591,958
318XX,957
32810,957
370XX,957
392XX,957
55343,957
800XX,955
95112,955
29406,954
31405,951
75051,949
21239,948
32301,948
535XX,947
20032,946
11231,945
28348,945
76116,944
77573,944
29418,942
90292,941
32792,940
27265,939
02302,935
06902,935
48076,934
77479,934
34711,933
33461,932
33467,932
33543,932
34120,931
799XX,931
91709,931
672XX,930
07112,929
086XX,929
33426,929
91401,929
11216,928
20001,928
225XX,928
776XX,927
33334,926
89166,926
33155,924
33181,924
77021,924
37207,923
30084,922
35211,922
91406,922
371XX,920
980XX,920
079XX,918
07201,916
377XX,915
76502,915
90016,915
33624,914
70461,914
913XX,914
21229,912
27529,912
75006,912
89074,912
23435,911
33441,911
75013,911
90302,911
78634,910
920XX,910
19018,909
20009,909
90301,909
33176,908
44105,908
91344,908
974XX,908
217XX,907
38134,907
48075,907
75227,907
78258,907
11229,906
75038,906
949XX,906
07103,905
33415,905
91405,905
235XX,904
30813,904
92584,904
77072,903
28311,901
72120,901
90017,901
91342,901
10460,899
29440,899
30458,899
89149,899
07105,898
08021,897
186XX,897
75044,897
797XX,897
32221,896
71603,896
90247,896
011XX,895
60586,895
983XX,895
32246,892
60453,892
01843,891
07108,891
19802,891
93720,891
061XX,890
32065,890
77064,890
34983,887
33598,886
39503,885
77079,884
35235,883
19406,882
29045,882
92114,882
145XX,881
89014,881
29150,880
30223,880
20910,879
10472,878
730XX,878
94513,878
11377,876
37040,876
23464,875
70458,875
11238,874
890XX,873
11433,871
21213,871
15235,870
94509,870
460XX,869
28025,868
531XX,867
15221,866
63121,865
378XX,864
19148,863
44125,863
936XX,863
89128,861
30082,860
75024,860
195XX,859
70065,858
75208,858
90045,857
07032,856
75010,856
02907,855
92551,855
75063,854
20706,853
30062,852
76543,852
91710,851
33314,850
90220,850
77066,849
07050,848
29420,847
11205,846
70127,846
010XX,843
28304,843
92154,843
20720,842
30060,842
48111,842
44146,841
89107,841
76016,839
70117,838
35242,837
70805,837
60607,835
76039,835
11411,834
461XX,834
76021,834
851XX,834
94806,834
237XX,833
48223,833
10027,832
30040,830
30329,830
37130,830
410XX,830
794XX,830
91403,830
20018,828
30141,828
32836,828
33417,828
60640,828
11435,826
11201,825
10031,824
611XX,824
48174,823
77498,823
33134,822
08854,821
23452,821
70131,821
85142,821
93534,821
95758,821
30102,820
60622,820
78626,820
92557,819
60608,818
71111,818
71303,818
07203,817
316XX,817
92503,817
067XX,816
216XX,816
53223,816
85225,816
43213,815
77025,815
232XX,813
33712,813
76010,813
10303,812
33613,811
193XX,810
20904,810
270XX,810
856XX,810
90034,810
92555,810
75228,809
07501,808
28173,808
11101,807
06606,806
19027,806
23185,806
27520,806
48092,806
60563,806
71118,806
75002,806
20716,805
740XX,805
75237,805
85037,805
880XX,804
020XX,803
33189,803
92335,803
34471,802
48197,802
60107,802
77515,802
620XX,801
32073,800
33013,800
33916,800
551XX,800
18102,799
70056,799
06511,798
23831,798
48141,798
981XX,798
11365,796
28205,796
85042,796
27545,795
29115,795
60647,795
30297,793
503XX,793
618XX,792
85345,792
90029,792
33909,791
91913,791
27713,790
75074,790
447XX,789
48188,789
63135,789
77043,789
70806,786
852XX,786
07202,784
11224,784
20850,784
29681,784
18301,783
32746,783
34714,783
76180,783
95127,783
11429,782
93313,782
27804,781
29405,781
76065,781
94568,781
75081,780
85122,780
10025,779
92530,779
984XX,779
30215,778
79705,778
660XX,777
78641,777
85281,777
94577,777
30152,776
60446,776
19136,775
33805,775
33881,775
34747,775
90650,775
60634,774
019XX,772
70570,772
02124,771
21220,771
37167,771
75040,771
75062,771
10475,770
37211,770
78741,769
92223,769
21217,768
63385,767
11223,766
286XX,765
60707,764
91387,764
21061,763
43081,763
77357,763
94601,763
95834,763
60517,762
240XX,761
70126,761
91304,761
31210,760
35758,760
017XX,759
173XX,759
30076,759
319XX,759
32765,759
327XX,759
28540,758
922XX,758
60406,757
95687,757
07107,756
20601,756
20878,756
91331,756
77581,755
90027,755
35022,754
110XX,753
70815,753
19133,752
33076,752
364XX,751
92301,751
31909,750
32819,749
75189,749
92677,749
35126,748
70068,748
77053,747
11368,746
33067,746
94578,746
10305,745
33326,745
46224,745
78664,745
27603,744
32277,744
43207,744
919XX,744
038XX,743
32907,743
373XX,743
92507,743
11746,742
43227,742
48234,742
77075,742
44118,741
23231,740
76014,740
78251,740
90011,740
14215,739
21044,739
30265,739
70810,738
33573,737
60626,737
75069,737
76107,737
92407,737
11419,736
20906,736
60477,736
77019,736
90037,736
29732,735
33144,735
34668,735
76548,735
08094,734
35020,734
48322,734
89110,734
90005,734
33810,733
33880,733
40216,732
80013,732
92879,732
32909,730
34772,730
48089,730
727XX,730
02860,729
85224,729
94124,729
23324,728
32225,728
46260,728
130XX,727
33705,727
121XX,726
27560,726
32068,726
383XX,726
444XX,726
75082,726
02780,725
10940,725
31322,725
32211,725
33135,725
37129,725
92592,725
970XX,725
23225,724
75093,724
85301,724
95206,724
018XX,723
062XX,723
43224,723
30188,722
75234,722
32812,721
33971,721
77091,719
08755,718
91761,718
19401,717
19114,716
27604,716
89104,716
20003,715
530XX,715
92562,715
08873,714
34203,714
27410,713
30338,713
90221,713
28303,712
34609,712
35244,712
75248,712
11722,710
229XX,710
946XX,710
08054,709
10952,709
77539,709
78130,709
92804,709
10002,707
19464,707
29605,707
33884,707
34638,707
60611,707
90012,707
85282,706
89131,706
90018,706
34205,705
76052,705
89106,705
917XX,705
32305,704
78681,704
93309,704
973XX,704
19977,703
21216,703
21218,703
78572,703
31093,702
45231,702
75254,702
90278,702
11375,701
30327,701
92394,701
08753,700
38119,700
91607,700
95624,700
36695,699
48091,699
77365,699
29301,698
64138,698
23455,697
532XX,697
32114,696
33470,696
10032,695
10950,695
783XX,695
91205,695
46307,694
863XX,694
07666,693
31406,693
91316,693
33325,691
23669,690
21208,689
75098,689
071XX,688
60641,687
95747,687
21222,686
75206,686
78577,685
22408,684
46229,684
75078,684
77099,684
77389,684
935XX,684
07307,683
65202,683
89102,683
34472,681
22204,680
23112,680
11214,679
37066,678
95835,678
07065,677
07109,677
431XX,677
92626,677
30907,676
21045,675
91311,675
91324,675
19130,674
20770,674
32738,674
76040,674
78640,674
11701,673
28117,673
32207,673
44111,673
445XX,673
92683,673
72206,672
75252,672
78244,672
85022,672
009XX,671
17603,671
30033,671
02148,670
27526,670
43211,670
91423,670
30114,669
38106,669
49022,669
92509,669
27330,668
64134,668
92630,668
11727,667
182XX,667
196XX,667
430XX,667
75253,667
840XX,667
90069,667
94541,667
07055,666
85008,666
32304,665
48127,665
63137,665
95035,665
76011,664
91356,664
22304,663
28105,663
30240,663
894XX,663
90813,663
10312,662
32117,662
85032,662
93311,662
93552,662
29720,661
33444,661
38111,661
75240,661
10035,659
29579,659
33133,659
63114,659
33625,658
93711,658
44102,657
76705,657
21221,656
34243,656
93611,656
95833,656
27106,655
30345,655
93307,655
11385,654
19122,654
33445,654
358XX,654
39212,654
63118,654
75025,654
77035,654
19154,653
20902,653
23607,653
91402,652
950XX,652
78233,651
77339,650
92404,650
33433,648
48204,648
60610,648
92395,648
10001,647
78249,647
92656,647
35401,646
94110,646
07024,645
08817,645
28546,645
33510,645
45238,645
75231,645
77354,644
779XX,644
78666,644
903XX,644
22306,643
33462,643
43147,643
91977,643
941XX,643
07631,642
10465,642
27203,642
29212,642
32258,642
70769,642
89044,642
02125,641
07302,641
10019,640
34786,640
75023,640
91739,640
33905,639
39211,639
77008,639
07712,638
90038,638
90804,638
91766,638
11717,637
27527,637
29673,637
297XX,637
32607,637
68104,637
92833,637
34207,636
60148,636
60803,636
95843,636
33034,635
19152,634
29505,634
19320,633
48066,633
07052,632
21237,632
